train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,51,392.50824583209874,6.132941341126543,0.7482369534555712,0.7482369534555712,1418,1061,288,0,51.34375,3286.0,3.0970782280867106,5.0,1061,0.031546926257783436,2019.00328049814,1980.9455452700843,38.05773522805552,0.01772697039360303,0.0007090788157441212,1.1079356496001893e-05,0.351836008157157,64
128,1,115,396.7076622873367,6.198557223239636,0.793205317577548,0.793205317577548,1354,1074,292,0,53.421875,3419.0,3.1834264432029795,5.0,1074,0.03214131657840053,2057.044261017634,2019.713663255456,37.33059776217783,0.018841523024137018,0.0007536609209654807,1.1775951890085636e-05,0.3479926667855473,64
192,2,179,396.1103096473663,6.1892235882400986,0.7724335965541995,0.7724335965541995,1393,1076,304,0,53.15625,3402.0,3.1617100371747213,5.0,1076,0.030898561428731847,1977.507931438838,1938.1874587949687,39.320472643869316,0.01711307770563995,0.000684523108225598,1.0695673566024969e-05,0.34404802910060767,64
256,3,243,413.20244421499035,6.456288190859224,0.7849613492621222,0.7849613492621222,1423,1117,301,0,55.84375,3574.0,3.1996418979409134,5.0,1117,0.034032594027879844,2178.08601778431,2139.129157985295,38.956859799015,0.01905720617597723,0.0007622882470390891,1.1910753859985768e-05,0.34027195763792384,64
320,4,307,423.7034794646931,6.6203668666358295,0.8,0.8,1425,1140,305,0,57.671875,3691.0,3.237719298245614,5.0,1140,0.03180299806295005,2035.391876028803,1995.262675516163,40.129200512640665,0.01744872394201991,0.0006979489576807964,1.0905452463762444e-05,0.3363960063899144,64
384,5,371,417.0406362693668,6.5162599417088565,0.7766990291262136,0.7766990291262136,1442,1120,291,0,55.4375,3548.0,3.1678571428571427,5.0,1120,0.03551135521944495,2272.726734044477,2233.63662062275,39.09011342172692,0.018395000319995497,0.0007358000127998199,1.1496875199997186e-05,0.3326142484256656,64
448,6,435,414.8187258208086,6.481542590950134,0.7902885292047853,0.7902885292047853,1421,1123,314,0,56.703125,3629.0,3.2315227070347285,5.0,1123,0.032069585018721314,2052.453441198164,2013.157721631772,39.29571956639241,0.01726913024739662,0.0006907652098958649,1.0793206404622889e-05,0.32879167323772956,64
512,7,499,413.800856582164,6.465638384096312,0.7885431400282885,0.7885431400282885,1414,1115,296,0,55.96875,3582.0,3.2125560538116593,5.0,1115,0.03457556754731409,2212.836323028102,2172.874284887734,39.962038140368044,0.018667418182834516,0.0007466967273133807,1.1667136364271573e-05,0.3250182971478657,64
576,8,563,414.2862684907973,6.4732229451687076,0.7647457627118645,0.7647457627118645,1475,1128,324,0,54.921875,3515.0,3.1161347517730498,5.0,1128,0.03208526292918262,2053.456827467688,2013.1100333774007,40.346794090288135,0.017754312040506915,0.0007101724816202767,1.1096445025316823e-05,0.32116124023431203,64
640,9,627,416.14631169678165,6.502286120262213,0.7902097902097902,0.7902097902097902,1430,1130,318,0,57.25,3664.0,3.2424778761061948,5.0,1130,0.03282488157549878,2100.792420831922,2060.099053410965,40.693367420957664,0.01890995432049097,0.0007563981728196388,1.1818721450306857e-05,0.31773299418963447,64
