method,cum_health_loss,satisfaction
BLA-MAPPO,14.000881824375801,0.8383281286726436
LyDRL-DoD,32.69587089942645,0.8615476310399248
MHSPO,34.730492184245676,0.8256098994274584
GDCO,17.106470977103115,0.7125823922079012
LSO,8.629112780077643,0.26856869218942964
