seed,dod_at0.8_frac,dod_at0.1_frac,dod_mean,dod_std,dod_max,dod_P10,dod_P50,dod_P90,dod_P95,dod_P99,fcmp_mean,fcmp_max,fcmp_P50,fcmp_P90,fcmp_P95,fcmp_P99,fcmp_ge0.95cn_frac,comp_power_mean,comp_power_max,comp_power_P90,comp_power_P95
0,0.13312592592592593,0.0,0.48658299446105957,0.2344682812690735,0.800000011920929,0.13365305960178375,0.4906882643699646,0.800000011920929,0.800000011920929,0.800000011920929,484325888.0,2000000000.0,425377024.0,1128024320.0,1681098880.0,2000000000.0,0.03981481481481482,6.681863784790039,80.0,14.353422164916992,47.50942611694336
1,0.1334,0.0,0.4962240159511566,0.23396693170070648,0.800000011920929,0.13164344429969788,0.5092629194259644,0.800000011920929,0.800000011920929,0.800000011920929,480052896.0,2000000000.0,422138176.0,1114382080.0,1680235392.0,2000000000.0,0.040244444444444444,6.61870002746582,80.0,13.838929176330566,47.43626022338867
2,0.15058518518518518,0.0,0.5037037134170532,0.23565009236335754,0.800000011920929,0.14196987450122833,0.521317720413208,0.800000011920929,0.800000011920929,0.800000011920929,487290368.0,2000000000.0,426530912.0,1138653184.0,1712682880.0,2000000000.0,0.04137777777777778,6.794513702392578,80.0,14.762995719909668,50.237823486328125
3,0.13445925925925925,0.0,0.5011792778968811,0.2329038828611374,0.800000011920929,0.14696241915225983,0.5190131664276123,0.800000011920929,0.800000011920929,0.800000011920929,482591712.0,2000000000.0,424927808.0,1119027328.0,1679632256.0,2000000000.0,0.040014814814814816,6.644259452819824,80.0,14.012709617614746,47.38518524169922
4,0.1383037037037037,0.0,0.5027463436126709,0.23242825269699097,0.800000011920929,0.14923816919326782,0.5192286968231201,0.800000011920929,0.800000011920929,0.800000011920929,482534112.0,2000000000.0,422992736.0,1123540736.0,1681707904.0,2000000000.0,0.03967407407407408,6.637879848480225,80.0,14.18294620513916,47.56107711791992
5,0.12524444444444444,0.0,0.48959022760391235,0.23123140633106232,0.800000011920929,0.1424458622932434,0.4949148893356323,0.800000011920929,0.800000011920929,0.800000011920929,483055936.0,2000000000.0,422874048.0,1123890304.0,1688114944.0,2000000000.0,0.040185185185185185,6.686200141906738,80.0,14.196187973022461,48.10675048828125
6,0.13757037037037037,0.0,0.4919918477535248,0.2353299856185913,0.800000011920929,0.1385425627231598,0.5005292892456055,0.800000011920929,0.800000011920929,0.800000011920929,480362912.0,2000000000.0,421154560.0,1122322944.0,1679804544.0,2000000000.0,0.04031851851851852,6.6303229331970215,80.0,14.13687801361084,47.39977264404297
7,0.15687407407407408,0.0,0.5125464797019958,0.23381993174552917,0.800000011920929,0.14427591860294342,0.5330977439880371,0.800000011920929,0.800000011920929,0.800000011920929,485647744.0,2000000000.0,426321792.0,1132249216.0,1696947840.0,2000000000.0,0.041133333333333334,6.732378005981445,80.0,14.515305519104004,48.86585235595703
8,0.15134814814814815,0.0,0.5110641717910767,0.23387697339057922,0.800000011920929,0.14565828442573547,0.5283763408660889,0.800000011920929,0.800000011920929,0.800000011920929,483054272.0,2000000000.0,422861664.0,1128877696.0,1705985792.0,2000000000.0,0.041414814814814814,6.744199752807617,80.0,14.386018753051758,49.65079879760742
9,0.1466,0.0,0.5019394159317017,0.2344500571489334,0.800000011920929,0.13326658308506012,0.5192593336105347,0.800000011920929,0.800000011920929,0.800000011920929,481235264.0,2000000000.0,419870112.0,1126150784.0,1696004608.0,2000000000.0,0.04094074074074074,6.686813831329346,80.0,14.282018661499023,48.7844123840332
