train_slots,rollout_index,updates,train_return,train_mean_slot_Rsys,train_satisfaction,train_cr,train_arrived,train_done,train_timeout,train_rejected,train_system_delay_overhead_s_per_slot,train_delay_sum_s,train_avg_completed_e2e_delay_s,train_p95_completed_e2e_delay_s,train_delay_samples,train_system_energy_overhead_kj_per_slot,train_total_dynamic_energy_j,train_energy_comp_j,train_energy_trans_j,train_cumulative_lifetime_loss,train_cum_hl_mean_satellite,train_avg_hl_per_sat_slot,train_avg_dod,train_n_slots
64,0,59,376.30189889515157,5.879717170236743,0.728490832157969,0.728490832157969,1418,1033,307,0,52.15625,3338.0,3.2313649564375604,5.0,1033,0.03108533069723546,1989.4611646230696,1948.0549704402006,41.4061941828682,0.01764254692913154,0.0007057018771652616,1.1026591830707213e-05,0.3518317438817052,64
128,1,123,366.97873318065143,5.734042705947679,0.7562776957163959,0.7562776957163959,1354,1024,334,0,55.25,3536.0,3.453125,5.0,1024,0.03174130033850543,2031.4432216643477,1986.1172742007188,45.325947463628644,0.01811491297550127,0.0007245965190200509,1.1321820609688295e-05,0.3479463175797115,64
192,2,187,343.8712134468043,5.372987710106317,0.7142857142857143,0.7142857142857143,1393,995,380,0,57.28125,3666.0,3.684422110552764,6.0,995,0.033273669822462416,2129.5148686375946,2080.1603611017536,49.35450753584096,0.01854270988436624,0.0007417083953746497,1.1589193677728901e-05,0.3440648079724378,64
256,3,251,387.09172909235826,6.048308267068098,0.7596626844694307,0.7596626844694307,1423,1081,358,0,60.46875,3870.0,3.5800185013876042,6.0,1081,0.03379074542823539,2162.607707407065,2117.8298289589497,44.77787844811489,0.019164898036632103,0.0007665959214652842,1.1978061272895065e-05,0.3403572122517119,64
320,4,315,357.3418863459211,5.583466974155018,0.7185964912280701,0.7185964912280701,1425,1024,380,0,56.828125,3637.0,3.5517578125,6.0,1024,0.03231870273452452,2068.3969750095694,2021.0369660418787,47.36000896769107,0.019024351400930374,0.000760974056037215,1.1890219625581484e-05,0.3364448396008818,64
384,5,379,360.7445008585898,5.636632825915465,0.7260748959778086,0.7260748959778086,1442,1047,405,0,62.96875,4030.0,3.8490926456542502,7.0,1047,0.03511858662404759,2247.589543939046,2198.633534645528,48.9560092935182,0.021315892598175717,0.0008526357039270287,1.3322432873859823e-05,0.3327609022115802,64
448,6,443,398.635732816811,6.228683325262672,0.772695285010556,0.772695285010556,1421,1098,335,0,57.828125,3701.0,3.3706739526411655,5.0,1098,0.0321795121059363,2059.4887747799235,2016.2948673397689,43.193907440153794,0.01833760889970175,0.0007335043559880699,1.1461005562313592e-05,0.32890781434542093,64
512,7,507,335.6285434495929,5.244195991399889,0.6987270155586988,0.6987270155586988,1414,988,410,0,62.546875,4003.0,4.051619433198381,6.0,988,0.03164985617793516,2025.5907953878502,1970.30339367427,55.287401713579996,0.018412922419654993,0.0007365168967861997,1.150807651228437e-05,0.32499788835189414,64
576,8,571,275.92188702911756,4.311279484829962,0.6203389830508474,0.6203389830508474,1475,915,539,0,64.640625,4137.0,4.521311475409836,7.0,915,0.03623644917952346,2319.1327474895015,2259.3768229277675,59.75592456173576,0.02322092557832312,0.0009288370231329248,1.451307848645195e-05,0.3211914203466095,64
640,9,635,363.27375335749605,5.676152396210876,0.7335664335664336,0.7335664335664336,1430,1049,407,0,64.109375,4103.0,3.911344137273594,6.0,1049,0.03047533868859287,1950.4216760699437,1897.765005666958,52.656670402985746,0.017203846707640424,0.0006881538683056169,1.0752404192275264e-05,0.3180168041730439,64
704,10,699,384.2272269727364,6.003550421449006,0.7626154939587776,0.7626154939587776,1407,1073,359,0,63.953125,4093.0,3.814538676607642,5.0,1073,0.030022873466759577,1921.463901872613,1870.6992316153253,50.76467025728749,0.01667872095284089,0.0006671488381136357,1.0424200595525557e-05,0.3156495478099933,64
768,11,763,348.3127234241518,5.442386303502372,0.7115384615384616,0.7115384615384616,1404,999,382,0,59.828125,3829.0,3.8328328328328327,5.0,999,0.02852537627798303,1825.624081790914,1772.483872714647,53.14020907626694,0.015614335738626839,0.0006245734295450736,9.758959836641774e-06,0.31428600276411495,64
832,12,827,359.32257459759796,5.614415228087468,0.7149725274725275,0.7149725274725275,1456,1041,411,0,64.984375,4159.0,3.9951969260326607,6.0,1041,0.030445879480889153,1948.5362867769059,1892.2792320808458,56.257054696060806,0.01679569693148372,0.0006718278772593488,1.0497310582177325e-05,0.31281922348604385,64
896,13,891,375.15557720967695,5.861805893901202,0.7300068352699932,0.7300068352699932,1463,1068,398,0,66.0625,4228.0,3.958801498127341,6.0,1068,0.03049428197255727,1951.6340462436651,1896.0294254216687,55.60462082199618,0.01633378731708132,0.0006533514926832527,1.0208617073175824e-05,0.31131007576849956,64
960,14,955,332.98490074036323,5.2028890740681755,0.6911357340720221,0.6911357340720221,1444,998,436,0,69.90625,4474.0,4.482965931863728,6.0,998,0.03621208903220905,2317.573698061379,2258.7559868373405,58.817711224038305,0.020460124667315175,0.000818404986692607,1.2787577917071984e-05,0.3107638128240109,64
