algorithm,seed,final_eval_return,mean_post_initial_return,auc_trapezoid,final_completion_rate,final_avg_dod,final_avg_health_loss,final_updates,wall_time_sec
MAPPO,0,-473.2434424392733,-401.41148746142517,-3028009.918686336,0.821353065539112,0.34246796036947175,2.0303027372451536e-05,128,263.95081424713135
IPPO,0,-322.4518953833487,-375.2718212232939,-2877016.8762063608,0.7473572938689218,0.33884850833932517,4.1737112053525994e-05,128,248.33133602142334
MADDPG,0,-408.1776458509762,-440.14579074959477,-3385838.886934021,0.6849894291754757,0.3413201316285992,3.096521132080497e-05,8185,200.49507641792297
QMIX,0,-279.2998273228678,-373.1545901330751,-2874695.7924627294,0.6585623678646935,0.33774941226220034,1.8471503042232154e-05,8168,311.17404317855835
