algorithm,steps,eval_return_per_slot,completion_rate,satisfaction,avg_delay,avg_health_loss,queue_tasks_per_sat,gradient_updates
MAPPO,1000,46.295930366644946,0.7822558584845446,0.7879316678912565,3.1873178692155264,0.0002045070076357295,2.60144,"{""ppo_updates"": 15}"
IPPO,1000,36.751047916614546,0.7422266800401204,0.7485745815707191,3.4872235872235873,0.0001979692591344789,2.9354400000000007,"{""ppo_updates"": 15}"
MADDPG,1000,-4.161439251197642,0.8157198869335278,0.8210352422907489,3.129555108428348,0.00032624417908712724,2.5136,"{""critic_updates"": 995, ""actor_updates"": 995}"
TD3,1000,13.478754913080502,0.83213276192213,0.8374013580473482,2.998137190444883,0.0003016324309251348,2.4252,"{""critic_updates"": 996, ""actor_updates"": 498}"
