method,tangent_cumHL,tangent_rank,secant_cumHL,secant_rank,secant/tangent,clip0_frac_of_ctrl,dod_at0.8_frac
BLA-MAPPO,182.42279052734375,1,129.4913330078125,3,0.7098418604028687,0.16037695160872942,0.13797481481481483
LyDRL-DoD,536.73046875,5,146.67803955078125,5,0.2732806279702772,0.34910006109528163,0.25556
MHSPO,526.4869995117188,4,127.86686706542969,2,0.24286804267535114,0.24641041220299958,0.21580444444444444
GDCO,257.6141052246094,3,130.67498779296875,4,0.5072509041344434,0.20131225032531214,0.1754622222222222
LSO,190.976806640625,2,68.54682922363281,1,0.358927507635115,0.21071953983379943,0.10352148148148148
