update,train_slots,rollout_reward_sum,rollout_reward_mean_per_slot,rollout_reward_mean_agent_per_slot
1,64,5728.32378222279,89.5050590972311,3.580202363889244
2,128,5925.324064534684,92.58318850835444,3.7033275403341777
3,192,6347.948704742491,99.18669851160142,3.967467940464057
4,256,6663.29660909178,104.11400951705906,4.164560380682363
5,320,6778.139877546107,105.90843558665792,4.236337423466317
6,384,5632.650729876055,88.01016765431336,3.5204067061725346
7,448,5417.020656758759,84.64094776185561,3.3856379104742245
8,512,4905.171710645719,76.64330797883936,3.0657323191535744
9,576,4940.622452471972,77.19722581987456,3.0878890327949824
10,640,5408.492911944742,84.5077017491366,3.380308069965464
11,704,6117.374762098037,95.58398065778182,3.823359226311273
12,768,4253.322375367893,66.45816211512333,2.6583264846049333
13,832,3683.9332855400517,57.56145758656331,2.302458303462532
14,896,4634.069196210226,72.40733119078479,2.8962932476313914
15,960,5230.078221600495,81.71997221250774,3.2687988885003096
16,1024,6715.022745027762,104.92223039105878,4.196889215642351
17,1088,7389.9108666168595,115.46735729088843,4.618694291635538
18,1152,7543.777551359957,117.87152423999933,4.7148609695999735
19,1216,7407.85854145343,115.74778971020984,4.629911588408394
20,1280,7077.585510130228,110.58727359578481,4.423490943831393
21,1344,7311.402722142985,114.24066753348414,4.569626701339366
22,1408,6811.629864283235,106.43171662942555,4.257268665177022
23,1472,6947.346912644349,108.55229551006795,4.342091820402718
24,1536,6725.527725669226,105.08637071358166,4.203454828543267
25,1600,6421.905905971602,100.34227978080628,4.013691191232251
26,1664,6299.591949047303,98.43112420386412,3.9372449681545647
27,1728,6187.223379114754,96.67536529866803,3.867014611946721
28,1792,6547.8694174716475,102.31045964799449,4.09241838591978
29,1856,6724.937907418002,105.07715480340629,4.203086192136252
30,1920,6087.759071325056,95.121235489454,3.8048494195781597
31,1984,7423.472822262123,115.99176284784568,4.639670513913827
32,2048,7283.441330535433,113.80377078961614,4.552150831584646
33,2112,7161.129410174692,111.89264703397956,4.475705881359183
34,2176,7787.22831917176,121.67544248705875,4.86701769948235
35,2240,7373.371372170106,115.2089276901579,4.608357107606317
36,2304,6682.892879850289,104.42020124766077,4.17680804990643
37,2368,6955.875017403212,108.68554714692519,4.347421885877008
38,2432,6844.875809744584,106.95118452725913,4.278047381090365
39,2496,7151.850714409637,111.74766741265057,4.469906696506023
40,2560,6803.4800068851855,106.30437510758102,4.252175004303241
41,2624,7488.63370852736,117.00990169574,4.6803960678296
42,2688,7150.288162721805,111.7232525425282,4.468930101701128
43,2752,7416.940904840309,115.88970163812982,4.635588065525193
44,2816,7174.7191749353005,112.10498710836407,4.484199484334563
45,2880,7165.3064135389095,111.95791271154546,4.478316508461819
46,2944,7385.361206967835,115.39626885887242,4.615850754354897
47,3008,7538.066607903259,117.78229074848842,4.711291629939537
48,3072,7637.748702162997,119.33982347129682,4.773592938851873
49,3136,7447.820171809826,116.37219018452853,4.654887607381141
50,3200,7264.3642875991445,113.50569199373663,4.540227679749465
51,3264,7375.873155651355,115.24801805705242,4.609920722282097
52,3328,7394.5605996726335,115.5400093698849,4.6216003747953955
53,3392,7342.738112503126,114.73028300786135,4.589211320314454
54,3456,6992.901802644663,109.26409066632286,4.370563626652914
55,3520,7529.5843260032125,117.6497550938002,4.705990203752008
56,3584,7201.483824624567,112.52318475975886,4.500927390390355
57,3648,6852.7837072259845,107.07474542540601,4.28298981701624
58,3712,6847.3989009418565,106.99060782721651,4.27962431308866
59,3776,7319.423222519115,114.36598785186118,4.574639514074447
60,3840,6996.462232533409,109.31972238333452,4.372788895333381
61,3904,7648.5457146349245,119.5085267911707,4.780341071646828
62,3968,8754.087256882482,136.78261338878877,5.471304535551551
63,4032,8049.914359491097,125.77991186704838,5.031196474681935
64,4096,7727.014187610786,120.73459668141854,4.829383867256741
65,4160,7983.62420513542,124.74412820524094,4.989765128209638
66,4224,7648.897208464252,119.51401888225394,4.780560755290157
67,4288,6970.9301847645675,108.92078413694637,4.356831365477855
68,4352,7327.482310384286,114.49191109975447,4.579676443990179
69,4416,7713.175631405686,120.51836924071384,4.820734769628554
70,4480,8101.619426429908,126.58780353796732,5.063512141518693
71,4544,7155.907611847388,111.81105643511543,4.472442257404618
72,4608,7615.112824315796,118.98613787993432,4.759445515197373
73,4672,7769.459385320216,121.39780289562837,4.855912115825135
74,4736,7568.544168263437,118.25850262911621,4.7303401051646485
75,4800,7244.182850062902,113.19035703223284,4.527614281289313
76,4864,7982.452323236514,124.72581755057053,4.989032702022821
77,4928,7885.8903385594,123.21703653999063,4.928681461599625
78,4992,7907.185290257188,123.54977016026857,4.941990806410742
79,5056,8274.205686415984,129.28446385024975,5.17137855400999
80,5120,7999.144061738025,124.98662596465664,4.999465038586266
81,5184,7862.565311758322,122.85258299622379,4.914103319848952
82,5248,7982.054976020062,124.71960900031347,4.988784360012539
