update,train_slots,actor_loss,critic_loss,ratio_mean,entropy_mean,buffer_task_size,buffer_slot_size
1,64,-0.015733911252270142,1125.3846459960937,1.0017466381192208,0.7960491100947062,3793,1600
2,128,-0.0158059592358768,1639.739228515625,1.0004199105396605,0.80020819212261,3637,1600
3,192,-0.021414653663041777,1900.0511303710937,1.0022911023477028,0.8017681333525427,3672,1600
4,256,-0.013092529807432458,2123.768591308594,0.9992010182347791,0.7950974831293369,3651,1600
5,320,-0.021997481251933744,2616.3645556640627,1.0007141440042429,0.7923093762780938,3559,1600
6,384,-0.019617792434507498,2710.0645703125,0.9977461822606899,0.7891941191973509,3441,1600
7,448,-0.01733103860169649,2602.4557177734373,1.0000753846933257,0.7908430779879948,3386,1600
8,512,-0.017229540437898216,2362.8288452148436,0.9994326081930422,0.8099366356344784,3254,1600
9,576,-0.019850035680940858,3272.7976220703126,0.9990740749571059,0.8181800753981979,3430,1600
10,640,-0.022370115420299357,2588.7298876953123,0.9997352968002188,0.7908032582751636,3657,1600
11,704,-0.021827801918102935,2523.591398925781,0.9997841038487174,0.7939289136366411,3505,1600
12,768,-0.020749470058151268,3123.317067871094,1.000337538394061,0.8101373775438829,3467,1600
13,832,-0.020352569009576525,3038.6035571289062,0.9990171300513404,0.8137387015989849,3568,1600
14,896,-0.016850767532984416,3278.3206420898437,1.0013135358691216,0.8021116604407629,3787,1600
15,960,-0.021932320413179697,2633.0548071289063,0.998209972679615,0.7921188463767369,3810,1600
16,1024,-0.016668912576827802,4304.38263671875,0.9993223176812226,0.8014861885106789,3370,1600
17,1088,-0.017633944115569365,4244.117534179688,1.0014594063676636,0.776312867629117,3694,1600
18,1152,-0.01602246882221489,3966.158505859375,0.9992762997194573,0.7703084195101703,3437,1600
19,1216,-0.01943546654477429,3528.3759765625,1.0002183180588942,0.7608455161635692,3279,1600
20,1280,-0.017047345571752106,3542.719479980469,0.9992623451564994,0.7527569133256163,3572,1600
21,1344,-0.017142880904989746,3379.4609619140624,0.9995928332209587,0.768167247565893,3321,1600
22,1408,-0.015210649523545396,2869.463876953125,1.0005438978021794,0.7676461057229476,3487,1600
23,1472,-0.020822123009360063,2574.462028808594,1.0005799419475052,0.7573661151921974,3333,1600
24,1536,-0.01803230321542783,2704.684658203125,1.0004482740705662,0.7707542739131233,3484,1600
25,1600,-0.015417106150877926,2693.3339013671875,1.000464400030532,0.7815380889289784,3386,1600
26,1664,-0.01564922304276158,2718.3882348632815,0.9976304325402952,0.7707716472008649,3251,1600
27,1728,-0.01781895761895511,2306.891396484375,0.9986450876350756,0.7823647271703791,3399,1600
28,1792,-0.01840579852944723,2640.180549316406,0.9998193466001086,0.7836469290433107,3417,1600
29,1856,-0.014316900633275509,2388.371525878906,0.999483537255672,0.7929043529326456,3593,1600
30,1920,-0.01864679175513712,2946.6112060546875,1.000654339248484,0.7719746378335086,3493,1600
31,1984,-0.007779245671043371,7689.586015625,1.00176683892595,0.7949237588872301,2947,1600
32,2048,-0.016976843364536764,5794.363525390625,0.9992181229591369,0.7686040937900543,3170,1600
33,2112,-0.016756193776268,4330.000356445313,0.9996289867980808,0.7522360437056598,3237,1600
34,2176,-0.019122540001880448,3645.19546875,1.0005362388098016,0.7681122911426256,3353,1600
35,2240,-0.017834761073269572,2816.495185546875,1.0003262118746836,0.7618838349978129,3025,1600
36,2304,-0.02063088274250428,2339.3929809570313,0.9956295410792033,0.7232525262567732,2858,1600
37,2368,-0.01768201022324237,2569.8269311523436,1.0027217675339093,0.7384809892285954,2790,1600
38,2432,-0.01875640852178665,2249.8304223632813,0.9979804931802952,0.7203158089455138,2986,1600
39,2496,-0.015215701150262485,2115.0707775878905,0.9997928602539975,0.7206535054289777,2922,1600
40,2560,-0.015585440851282328,2086.8910327148437,1.0011367239058018,0.7216362984230121,3058,1600
41,2624,-0.01674351044525595,2270.8146508789064,0.9979967092690261,0.7458074280749196,2944,1600
42,2688,-0.015813513820496748,2577.3727880859374,0.9982988110610417,0.7177452797792396,3081,1600
43,2752,-0.015412969485004532,2450.0122265625,1.0004403603837846,0.7170387652326138,2991,1600
44,2816,-0.01444079145870131,2464.860085449219,0.9990784849809564,0.6876097321510315,2933,1600
45,2880,-0.017512887677488227,2105.4427893066404,1.0010811171183984,0.6997991787890593,3020,1600
46,2944,-0.01611017546383664,19889.24666015625,1.0015951000154018,0.6372804112732411,2504,1600
47,3008,-0.01182238848414272,9779.27431640625,1.0006915003061294,0.6212656490504742,2533,1600
48,3072,-0.012370234343688936,5535.979375,1.0004900887608528,0.6248828321695328,2554,1600
