algorithm,seed,final_eval_return,final_eval_cr,final_eval_avg_delay_s,final_eval_total_energy_j,final_eval_cum_hl_mean_satellite,final_eval_cum_hl_system,final_eval_avg_dod,final_updates,wall_time_sec
BLA-MAPPO,0,-249.08317836280952,0.6670190274841438,4.581616481774961,6847.787393911561,0.0036786146358001683,0.0919653658950042,0.337577866625499,500,733.6500773429871
MAPPO,0,-137.0745538896157,0.7304439746300211,3.353111432706223,5843.182609659211,0.002764244133809133,0.06910610334522832,0.3371659976034336,500,1010.0736377239227
IPPO,0,-379.6952060353847,0.7156448202959831,4.072378138847858,7548.8015248764905,0.005142076385522639,0.12855190963806598,0.33793710685643863,500,949.8769648075104
MADDPG,0,-349.26415995995717,0.63107822410148,4.857621440536013,9353.987933281978,0.004561985748487327,0.11404964371218318,0.3388749875092547,31993,729.5562829971313
QMIX,0,-231.80113606845393,0.6701902748414377,4.736593059936909,6247.735528871304,0.0035215468703199753,0.08803867175799938,0.33721274379147614,31976,1272.7657771110535
