algorithm,seed,final_eval_return,satisfaction,system_delay_overhead_s_per_slot,system_energy_overhead_kj_per_slot,cumulative_lifetime_loss,avg_completed_e2e_delay_s,total_dynamic_energy_j,avg_dod,final_updates,wall_time_sec,checkpoint_sha256
BLA-MAPPO,0,14820.23609870291,0.49886722158823926,57.84074074074074,0.032747213463801335,1.1716382217638364,5.253561636923284,176834.9527045272,0.2447028557590148,500,950.2470331192017,becfa221925692968cf3f8de2eb6b9bb30d90b758d39d8e02c59e59b63b562d9
MAPPO,0,28773.14733157489,0.7164613680606834,59.85962962962963,0.04787806282038878,2.819561850508986,3.785700064414124,258541.5392300994,0.26101214646802984,500,1459.9027788639069,a95bc3d2a9155feeeb51444e6c4c91cb57ff050643dbffed2a5c40e1f791df5e
IPPO,0,21351.921911488575,0.610450090622273,58.831296296296294,0.043819136400993705,2.4837381377241683,4.366799081799563,236623.33656536601,0.25561670684722093,500,1244.2407186031342,8a49a581b68fd79b4caa264ea70a101894f3c5b13f647ddd6a1ce0a58df22a69
MADDPG,0,11455.858599401112,0.4490669262267571,52.55962962962963,0.031054162089014344,1.549060805822967,5.3032998243581595,167692.47528067746,0.24602506601698257,31995,1168.5147976875305,5d1f9ce2cd45bdac56e53de1cb13d10ecf18e814ad7dbd750d6fc210ed1cb659
QMIX,0,35329.28135031789,0.8106162314559978,41.458888888888886,0.04526813460737497,3.0221240275479255,2.3174336997702008,244447.9268798248,0.2657781380027021,31987,1344.7512946128845,38c4c5cafbd10cf4f6180ea3a72baff5b4be5c802667c40861cfa820389d4bc1
